"username";"email";"first_name";"last_name";"birth_date";"country";"subscription_type";"liked_songs_id"
"U0010321";"floydheather@example.net";"Susan";"Alexander";"1986/09/34";"Palau";"premium";"['S0007505', 'S0007062', 'S0001632', 'S0001447', 'S0008511', 'S0003002', 'S0006439', 'S0000531', 'S0007529', 'S0000336', 'S0010379', 'S0005701', 'S0010384', 'S0000478', 'S0006133', 'S0004193', 'S0005179', 'S0001293', 'S0006935', 'S0000650', 'S0006335', 'S0010464', 'S0002980']"
"U0011413";"lhoward@example.com";"Sherri";"Rodriguez";"19651218";"Bahamas";"normal";"['S0003053', 'S0009851', 'S0005146', 'S0000950', 'S0007669', 'S0006091', 'S0009452', 'S0010562', 'S0002686', 'S0006694']"
"U0010430";"abigailreyes@example.net";"Juan";"Castaneda";"1989/07/03";"Saint Martin";"premium";"['S0005797', 'S0001910', 'S0001506', 'S0009147', 'S0004020', 'S0009579', 'S0004620', 'S0006909', 'S0009354', 'S0002543', 'S0008729', 'S0001924', 'S0005500', 'S0026745']"
"U0010851";"gomezkatrina@example.net";"Curtis";"Nunez";"1964/02/04";"Cuba";"Exclusive";"['S0000431', 'S0009068', 'S0007118', 'S0006433', 'S0000444', 'S0006701', 'S0009219', 'S0003299', 'S0003793', 'S0010726', 'S0009110', 'S0005434', 'S0003206', 'S0007607', 'S0006804', 'S0002952', 'S0004781', 'S0005711', 'S0006487', 'S0001184', 'S0010234', 'S0005776', 'S0000462', 'S0001911', 'S0007513', 'S0000379', 'S0001667', 'S0004436', 'S0010588', 'S0007740', 'S0000805', 'S0003844', 'S0002557', 'S0002396', 'S0009486', 'S0004573', 'S0004770', 'S0007871', 'S0000311', 'S0005474', 'S0006556', 'S0003564', 'S0006158', 'S0007105', 'S0005243']"
"U0010031";"amber60@invalid_domain";"Rebekah";"Holden";"1992/09/29";"Congo";"premium";"['S0000277', 'S0010125', 'S0005720', 'S0003195', 'S0010726', 'S0008930', 'S0004979', 'S0008958', 'S0004502', 'S0007639', 'S0000940', 'S0002124', 'S0003663', 'S0008621', 'S0010157', 'S0006181', 'S0004070', 'S0003597', 'S0004886', 'S0003763', 'S0007280', 'S0005001', 'S0005112', 'S0010340', 'S0008894', 'S0005866', 'S0000228', 'S0002845', 'S0006651', 'S0003576', 'S0006771', 'S0003962', 'S0008984', 'S0001782']"
"U0011048";"josegraham@example.com";"Monica";"Smith";"1970/01/17";"Sierra Leone";"premium";"['S0004523', 'S0006445', 'S0004205', 'S0002505', 'S0004963', 'S0002764', 'S0007098', 'S0010388', 'S0002910', 'S0006040', 'S0010600', 'S0007442', 'S0004349', 'S0000413', 'S0002152', 'S0006225', 'S0006500', 'S0010673', 'S0003827', 'S0003982', 'S0003929', 'S0002945', 'S0006016', 'S0005809', 'S0006113', 'S0008921', 'S0004756', 'S0005792', 'S0007933', 'S0008504', 'S0006139', 'S0005514', 'S0002936', 'S0007894', 'S0009940', 'S0027406']"
"U0010215";"agarcia@example.netc";"Natalie";"Rios";"1981/11/29";"Qatar";"normal";"['S0006533', 'S0007888', 'S0006075', 'S0005057', 'S0000462', 'S0009578', 'S0009452', 'S0010157', 'S0010673', 'S0007455', 'S0001850', 'S0007860', 'S0004434', 'S0008436', 'S0001741', 'S0007212', 'S0004515', 'S0004334', 'S0003755']"
"U0010812";"simmonsmichael@example.com";"Angela";"Howell";"1975/08/45";"Christmas Island";"premium";"['S0005197', 'S0006823', 'S0008352', 'S0010210', 'S0009591', 'S0005291', 'S0009427', 'S0010637', 'S0006770', 'S0001955', 'S0004306', 'S0008148', 'S0008765', 'S0009658', 'S0002522', 'S0008907', 'S0000190', 'S0003702', 'S0008416', 'S0009933', 'S0007812', 'S0004311', 'S0010487', 'S0000994', 'S0006266', 'S0009558', 'S0001142', 'S0005807', 'S0000157', 'S0005512', 'S0008172', 'S0001445', 'S0002739', 'S0007980', 'S0004217', 'S0008800', 'S0003126']"
"U0010619";"sherry80@example.com";"Joe";"Ryan";"1980/05/22";"Botswana";"Exclusive";"['S0008953', 'S0003325', 'S0007399', 'S0004503', 'S0004760', 'S0005015', 'S0009840', 'S0005299', 'S0000397', 'S0001394', 'S0010546', 'S0000430', 'S0002437', 'S0009318', 'S0005861', 'S0002896', 'S0000746', 'S0002984', 'S0002631', 'S0005535', 'S0007352', 'S0005008', 'S0000642', 'S0005433', 'S0005022', 'S0008854', 'S0001968', 'S0008317', 'S0004272', 'S0001287', 'S0004925', 'S0007132', 'S0010331', 'S0000440', 'S0002933', 'S0002436', 'S0008007', 'S0008835', 'S0005452', 'S0003414', 'S0006924', 'S0000179', 'S0008109', 'S0002696', 'S0005953', 'S0009231', 'S0006685', 'S0008219', 'S0007279', 'S0006789']"
"U0011164";"zjones@example.org";"Angela";"Simpson";"1979/";"Brunei Darussalam";"premium";"['S0003664', 'S0002560', 'S0001033', 'S0002906', 'S0003999', 'S0005833', 'S0009277', 'S0001450', 'S0003588', 'S0010386', 'S0008133', 'S0003951', 'S0008704', 'S0001444', 'S0002088', 'S0004843', 'S0005815', 'S0009115']"
"U0010776";"zreynolds@example.net";"Andrea";"Taylor";"1986/06/23";"Martinique";"premium";"['S0009293', 'S0008147', 'S0002976', 'S0003218', 'S0008417', 'S0003964', 'S0002209', 'S0008294', 'S0003735', 'S0001766', 'S0003474', 'S0009472', 'S0008272', 'S0008950', 'S0006550', 'S0002673', 'S0001558', 'S0003146', 'S0008871', 'S0004666', 'S0025667']"
"U0010268";"amanda31@example.org";"Kenneth";"Mason";"1972/01/15";"Bulgaria";"Exclusive";"['S0009190', 'S0003365', 'S0002179', 'S0009247', 'S0003531', 'S0001327', 'S0006962', 'S0003334', 'S0005814', 'S0001361', 'S0009602', 'S0009821', 'S0006221', 'S0003205', 'S0005834', 'S0001091', 'S0003011', 'S0008638', 'S0003282', 'S0002615', 'S0000086', 'S0007482', 'S0007200', 'S0004836', 'S0006656', 'S0000294', 'S0000157', 'S0004573', 'S0009259', 'S0010002', 'S0006967', 'S0004600', 'S0000075', 'S0005960', 'S0009590']"
"U0010669";"munozsara@example.com";"Anthony";"Miller";"198007/29";"Slovenia";"premium";"['S0000989', 'S0005094', 'S0001348', 'S0003356', 'S0002325', 'S0009040', 'S0002629', 'S0004510', 'S0009524', 'S0008499', 'S0009686', 'S0008355', 'S0000782', 'S0005949', 'S0001491', 'S0006413', 'S0009275', 'S0005371', 'S0010322', 'S0006127', 'S0005808', 'S0004402', 'S0004566', 'S0004539', 'S0009878', 'S0006435', 'S0005101', 'S0000771', 'S0009193', 'S0001124', 'S0007772']"
"U0011478";"stevensashlee@";"Kim";"Jackson";"2001/05/28";"Italy";"normal";"['S0002291', 'S0007653', 'S0005453', 'S0007996', 'S0005812', 'S0002788', 'S0001018', 'S0001339', 'S0002581', 'S0009500', 'S0007164', 'S0008628', 'S0009222', 'S0002828']"
"U0010921";"youngdonald@invalid_domain";"Shawn";"Banks";"1972/03/15";"Togo";"premium";"['S0005655', 'S0001732', 'S0003551', 'S0002043', 'S0003711', 'S0004984', 'S0007684', 'S0010349', 'S0005342', 'S0008746', 'S0002725', 'S0003657', 'S0007101', 'S0003671', 'S0000920', 'S0004870', 'S0008515', 'S0007905', 'S0010569', 'S0000885', 'S0008113', 'S0000390', 'S0009913', 'S0010225', 'S0003627']"
"U0011377";"derekrodriguez@example.org";"Cody";"Stevens";"1992/06/21";"Guam";"normal";"['S0006029', 'S0008496', 'S0004410', 'S0004707', 'S0001237', 'S0004818', 'S0002681', 'S0006215', 'S0001327', 'S0010023', 'S0009600', 'S0009036', 'S0004118', 'S0007919', 'S0008005', 'S0001260', 'S0006457', 'S0008805', 'S0005382', 'S0005418', 'S0006661', 'S0000560', 'S0005922', 'S0006192', 'S0005031', 'S0004865', 'S0007751', 'S0029606']"
"U0011203";"stevenrasmussen@example.net";"Robert";"Williams";"19790311";"Guernsey";"normal";"['S0007787', 'S0009319', 'S0009840', 'S0007727', 'S0002632', 'S0010731', 'S0005643', 'S0002832', 'S0002952', 'S0007433', 'S0003352', 'S0002466', 'S0005501', 'S0001978', 'S0007081', 'S0007831', 'S0008918', 'S0003947', 'S0006978', 'S0003548', 'S0000086', 'S0007624', 'S0002780', 'S0010494', 'S0009294', 'S0003974', 'S0004424', 'S0000252', 'S0004922', 'S0010326', 'S0000499', 'S0002819', 'S0007972', 'S0010548', 'S0003732', 'S0001265', 'S0001297', 'S0008933', 'S0004977', 'S0008909']"
"U0011161";"hporter!@example.com";"Kiara";"Robinson";"1991/02/20";"Swaziland";"premium";"['S0007409', 'S0008184', 'S0008164', 'S0004262', 'S0004160', 'S0003608', 'S0009841', 'S0007266', 'S0008622', 'S0000305', 'S0008578', 'S0001969']"
"U0010319";"tjordan@example.org";"Daniel";"Cruz";"1976/07/05";"Germany";"normal";"['S0009577', 'S0006467', 'S0008602', 'S0006756', 'S0001893', 'S0003336', 'S0003366', 'S0001638', 'S0003019', 'S0002259', 'S0003899', 'S0009450', 'S0009234', 'S0005581', 'S0010431', 'S0007940', 'S0000250', 'S0007340', 'S0005677', 'S0004828', 'S0010229', 'S0008061', 'S0000165', 'S0003544', 'S0007150', 'S0001585', 'S0006808', 'S0006901', 'S0001129', 'S0010707', 'S0007162', 'S0002741', 'S0006320', 'S0000183', 'S0006301', 'S0010338', 'S0002341', 'S0010280', 'S0030469']"
"U0010190";"jamieosborne@example.com";"Andrew";"Wallace";"19850/02/09";"Sierra Leone";"normal";"['S0007100', 'S0001087', 'S0000830', 'S0001117', 'S0008894', 'S0009052', 'S0002532', 'S0003730', 'S0007307', 'S0008289', 'S0003921', 'S0007115']"
"U0010856";"chelsearodgers@examplenet";"Christie";"Williamson";"1981/04/16";"Malawi";"normal";"['S0007944', 'S0010148', 'S0008750', 'S0007909', 'S0007403', 'S0005472', 'S0007535', 'S0004096', 'S0002863', 'S0009655', 'S0002898', 'S0007241', 'S0007303']"
